outcome,component,variance,pct_of_total,sd
Education,Residual,8.715136162296563,83.55080032696166,2.952140945533692
Education,Total,10.430942765588576,100,3.2296970083257928
Education,cohort_4yr,0.6691124341487471,6.414688002661971,0.8179929303782197
Education,period_4yr,1.0466941691432647,10.034511670376364,1.023080724646528
Happiness,Residual,0.4106363628461786,98.48834488585968,0.640809146974494
Happiness,Total,0.4169390432157979,100,0.6457081718669804
Happiness,cohort_4yr,2.457067920681354e-4,0.05893110661285883,0.01567503722700955
Happiness,period_4yr,0.00605697357755114,1.452724007527449,0.07782656087449286
SRH,Residual,0.651621447515311,97.513949209073,0.807230727558925
SRH,Total,0.668234086303093,100,0.817455861990782
SRH,cohort_4yr,0.0156795812204456,2.34642044484599,0.125218134551053
SRH,period_4yr,9.3305756733637e-4,0.139630346081024,0.0305459910190581
