term,estimate,std_error,ci_lower_90,ci_upper_90,n_eff,Rhat
(Intercept),4.246485005191522,0.09988043140961085,4.083291326596123,4.411022935231004,5608,0.9999546707266401
age,-0.045165407950757366,0.0018912491933551845,-0.04827901719614023,-0.042036367935744376,4859,1.0000924887161184
scale(age_squared),0.5013523048599368,0.030639993770533874,0.44984626247345383,0.5515508473460423,5222,1.0001357019529387
lnWt,0.11275408461945984,0.0051110130256338555,0.10434789771608444,0.12112438755186089,13900,0.9997433494889976
race_fNH Black,-0.07683594569660987,0.009305770111074781,-0.09206989818515196,-0.061573058444601876,14726,0.9998566036985137
race_fNH AIAN,-0.22420338761405906,0.04370876988850621,-0.2955300929488682,-0.15192809347532868,20302,1.0000516382160356
race_fNH Asian,0.04615237974311446,0.013389704558820138,0.024491677625394247,0.06825793277437449,18586,0.9998798287439702
race_fHispanic,0.019188418005043017,0.009148349228493627,0.004165932368442214,0.034307479531098146,13481,0.9997685809242266
race_fOther/Multi,-0.2403181041813134,0.025189653187960903,-0.2821734103066112,-0.1994412404453118,19241,0.999808811993989
educ_fHS,0.20285459377189732,0.008953170053119613,0.18820943470070642,0.21777484204571115,11796,0.9999777392668557
educ_fSome college,0.34479520683899045,0.010291947747959083,0.3278990724998486,0.3618311424562303,12344,0.99985648511295655
educ_fBachelor+,0.5603958917291784,0.009640923191085924,0.5447936397620672,0.5765269165320344,10809,0.9998417340714322
sex_fMale,0.09230007801042946,0.006164776798083497,0.08222664790017438,0.10242786927454389,21121,0.9998857433501565
sigma,0.9553888594556303,0.0021271908861021133,0.9519062820497706,0.9588599255828774,13260,0.9997044290974678
mean_PPD,3.5059993389331225,0.004325019450442331,3.498844572659796,3.51306753491386,12005,1.0002198797264492
log-posterior,-136459.75099409706,6.606907769470768,-136471.14443432906,-136449.38849277643,2311,1.001765760983744
