dimension,term,estimate,std.error,statistic,p.value,conf.low,conf.high,survey
Age,(Intercept),0.006477378755881995,0.027381790624368896,0.23655789516253695,0.8173471213592528,-0.053789536065090314,0.0667442935768543,GSS
Age,value,-2.7008567873911746e-5,4.95481369072371e-4,-0.05450975467448267,0.9575064640702922,-0.0011175557083040885,0.001063538572556265,GSS
Cohort,(Intercept),0.13514161802403554,1.0020667949605888,0.1348628840948179,0.8940045538218097,-1.948770362117899,2.21905359816597,GSS
Cohort,value,-8.636865902125679e-5,5.156566340698928e-4,-0.16749257803507725,0.8685849447205426,-0.001158735334358681,9.859980163161677e-4,GSS
Period,(Intercept),-1.1077693777849928,0.9641489094559311,-1.1489608782631997,0.28019016438341215,-3.2888257393148055,1.0732869837448198,GSS
Period,value,5.557880709412246e-4,4.8326748371623466e-4,1.1500630389351265,0.27975897317359316,-5.374389288949206e-4,0.0016490150707773698,GSS
Age,(Intercept),0.056113248133739316,0.02540591972075715,2.20866824545201,0.04933326786128352,1.951958498733128e-4,0.11203130041760531,NHANES
Age,value,-9.010624796725381e-4,4.597274173362663e-4,-1.9599929125250726,0.07581534603086418,-0.001912915702916916,1.1079074357183956e-4,NHANES
Cohort,(Intercept),-3.3343430129480742,1.1466540276861354,-2.9078893305564333,0.010820148270470306,-5.778378219173973,-0.8903078067221752,NHANES
Cohort,value,0.0016947727554829576,5.85579320815285e-4,2.894181360645344,0.011125162779932871,4.4663997824201667e-4,0.002942905532723899,NHANES
Period,(Intercept),6.19302894969167,4.074358106580617,1.520001135808147,0.22583739451954435,-6.773396952998536,19.159454852381877,NHANES
Period,value,-0.0030776832626955588,0.0020270312909585297,-1.5183205490824976,0.22623204784256915,-0.009528601505300997,0.0033732349799098786,NHANES
Age,(Intercept),0.027559759222671315,0.01253226433665978,2.19910452591178,0.05016450544185374,-2.3568604662540377e-5,0.055143087050005174,MEPS
Age,value,-4.280706754211071e-4,2.267749241197828e-4,-1.8876455458320411,0.08572279030605312,-9.271989180896564e-4,7.105756724744229e-5,MEPS
Cohort,(Intercept),-1.5288760937032246,0.8767836249452869,-1.743732490212314,0.10165812110598561,-3.397696152647109,0.3399439652406595,MEPS
Cohort,value,7.712353397114863e-4,4.4776048154078507e-4,1.7224283327943422,0.1055400501785406,-1.8314353518824624e-4,0.0017256142146112189,MEPS
Period,(Intercept),-6.626633483639499,1.934084152952894,-3.426238446513395,0.04165240589490446,-12.781752450312204,-0.4715145169667929,MEPS
Period,value,0.0032990782051345014,9.622249676704915e-4,3.4285934329073156,0.04158076474596767,2.368489119198105e-4,0.006361307498349192,MEPS
Age,(Intercept),0.02353804511112469,0.03651019163153398,0.6446979338994977,0.5323375383371566,-0.05682034486198355,0.10389643508423292,NHIS
Age,value,-5.393468686724864e-4,6.606624081986612e-4,-0.8163728736179352,0.4316112800485159,-0.001993455024948144,9.147612876031716e-4,NHIS
Cohort,(Intercept),-0.15549634066329843,0.6817395366100493,-0.22808760870244402,0.8220148226202039,-1.5823935896293055,1.271400908302709,NHIS
Cohort,value,7.427727987242284e-5,3.499266988757521e-4,0.21226525472638014,0.8341606799734225,-6.581277181542194e-4,8.066822778990651e-4,NHIS
Period,(Intercept),-0.06550337745821125,1.3404271146440536,-0.048867541354984806,0.9623899352062195,-3.2351098402380822,3.1041030853216593,NHIS
Period,value,3.2063897687436044e-5,6.701995949759045e-4,0.04784231134694856,0.963178290882645,-0.0015527063180002494,0.0016168341133751215,NHIS
Age,(Intercept),0.031543727897250205,0.01745743996467725,1.8068931046633778,0.09817951153497999,-0.006879838398195122,0.06996729419269554,CPS
Age,value,-4.721068545176057e-4,3.1589739228007007e-4,-1.4944943075029962,0.16316918864098634,-0.001167392327037687,2.2317861800247567e-4,CPS
Cohort,(Intercept),-1.3110564499629147,1.2254868450836012,-1.069824988511791,0.2996534806547666,-3.8966076861501007,1.2744947862242713,CPS
Cohort,value,6.459099133635721e-4,6.258258383825994e-4,1.032092115328569,0.3164895629131683,-6.744671894666316e-4,0.001966287016193776,CPS
Period,(Intercept),-0.3423425068222123,1.163362850956038,-0.2942697598955297,0.7803769571829925,-3.3328619197438796,2.6481769060994553,CPS
Period,value,1.6973760667417248e-4,5.787803251366181e-4,0.2932677551437271,0.7810996232969585,-0.0013180645839456977,0.0016575397972940428,CPS
Age,(Intercept),-0.005268093487365704,0.029374242578675568,-0.17934397706615635,0.8612493822736221,-0.07071798462458222,0.06018179764985081,BRFSS
Age,value,2.8794836471930752e-5,5.60331636075784e-4,0.05138891795150451,0.9600276344082282,-0.0012197018518655574,0.0012772915248094189,BRFSS
Cohort,(Intercept),-2.973257343146031,1.243384421116149,-2.3912615379859967,0.028627773864511836,-5.596569164052142,-0.3499455222399197,BRFSS
Cohort,value,0.0014981191280481008,6.349656880435899e-4,2.3593702089068724,0.030529173914132377,1.5845862802408477e-4,0.002837779628072117,BRFSS
Period,(Intercept),3.3434642256844507,1.7708865722409104,1.8880171537206776,0.10794846396107959,-0.9897391149653236,7.676667566334225,BRFSS
Period,value,-0.0016639215751509304,8.821209145802697e-4,-1.8862738062872668,0.1082096962678618,-0.003822393695180231,4.945505448783701e-4,BRFSS
