term,estimate,std_error,ci_lower_90,ci_upper_90,n_eff,Rhat
(Intercept),4.961027431254368,0.11269733821852018,4.777807130791583,5.150369790125723,4472,1.0010907954858166
age,-0.031417225938140704,0.0019493941033840007,-0.03474777461855837,-0.02829753418667201,3825,1.0018808513880681
scale(age_squared),0.2589718463181084,0.03436834823928843,0.20363388781726424,0.3174011781786218,4013,1.0016484771432008
lnWt,0.021250443184022916,0.006519112284450515,0.01045366707192855,0.03193250160921603,19167,0.9998437396979006
race_fNH-Black,-0.27725499999746234,0.014072841005670878,-0.3004799011370984,-0.2545581996254974,18703,0.9998029374152416
race_fNH-AIAN,-0.2485285687456566,0.05415868656270283,-0.33744821801428065,-0.15775484339353602,25945,0.9997665861445465
race_fNH-Asian/PI,-0.10072298041988932,0.02268640640287293,-0.13747968500752372,-0.06337582218977635,23444,0.9997279454517765
race_fHispanic,-0.10112704163224152,0.013459785470859636,-0.12338993130852048,-0.07896785735838588,15173,0.9998548922945348
race_fOther,-0.2977863728523463,0.06264050754180857,-0.4008184199478807,-0.19554079924040418,23721,0.99987381815351
educ_fHS,0.21577071215420743,0.01446015123023431,0.19198193779112568,0.23936021759514717,9328,0.9997539191372734
educ_fSome college,0.348785566215388,0.014553374163641341,0.32485524435249424,0.37274816655385434,9070,0.9997790008077935
educ_fBachelor+,0.6540602004916249,0.01518677266763551,0.6290173786819676,0.6791792037263865,8590,0.9998188570734519
sex_fMale,-0.02901501926212927,0.009162756171611228,-0.043922572877357055,-0.014164629293445188,23671,0.999826001756661
k6,-0.08559735615365671,0.0011859836078019041,-0.08753789098739093,-0.0836630558944992,23981,0.9998087454991595
sigma,0.9355399876817702,0.0032258159828484887,0.9302748677555799,0.9408629303528648,16431,1.0000597678278755
mean_PPD,3.6869340029111304,0.0064765731071520175,3.6762421303089354,3.697479154924432,12224,1.000009101858435
log-posterior,-56924.68893323135,6.770442010573734,-56936.50682632008,-56914.29648973459,2505,1.0014500223198073
